ID,乡镇级,Rural
650,茗岙乡,0
651,舍力镇,1
652,只乐镇,1
653,珠兰乡,0
654,开元镇,1
655,芭沟镇,1
656,什社乡,0
657,枫相乡,0
658,城头镇,1
659,下涯镇,1
660,名口镇,1
661,城关镇,1
662,樟坪畲族乡,0
663,长陔乡,0
664,维新镇,1
665,石塘镇,1
666,锦和镇,1
667,韩山镇,1
668,大堰乡,0
669,陈村镇,1
670,平富乡,0
671,分界镇,1
672,青山乡,0
673,新开镇,1
674,施官镇,1
675,老城街道,1
676,特吾里克镇,1
677,紫湖镇,1
678,隆文镇,1
679,大赉乡,0
680,巨宝山乡,0
681,八家子镇,1
682,临溪镇,1
683,孙庙乡,0
684,云场坪镇,1
685,转龙镇,1
686,潭水镇,1
687,四排乡,0
688,六隆镇,1
689,英吾斯塘乡,0
690,新窑镇,1
691,詹家镇,1
692,国安瑶族乡,0
693,古坊乡,0
694,团林铺镇,1
695,王截流乡,0
696,张庄镇,1
697,水寨乡,0
698,冯店乡,0
699,时村乡,0
700,饶峰镇,1
701,高村镇,1
702,公安镇,1
703,大直镇,1
704,一碗水乡,0
705,汶上街道办事处,1
706,单甲乡,0
707,两河口镇,1
708,白河乡,0
709,古城镇,1
710,白露街道办事处,1
711,尕孜库勒乡,0
712,伏岭镇,1
713,长龙乡,0
714,二坝镇,1
715,千岭乡,0
716,吕王镇,1
717,卧龙朝鲜族乡,0
718,布多乡,0
719,钱场镇,1
720,庙前镇,1
721,店前镇,1
722,十里街道办事处,1
723,杨宋镇,1
724,丹景山镇,1
725,十月田镇,1
726,古贤镇,1
727,新城镇,1
728,黄圃镇,1
729,杨家镇,1
730,穆家营子镇,1
731,苏武镇,1
732,青堆镇,1
733,豆庄镇,1
734,椿林镇,1
735,双桂街道办事处,1
736,建新镇,1
737,沙湾乡,0
738,唐尕昂乡,0
739,西合营镇,1
740,太平镇,1
741,梅口乡,0
742,财神镇,1
743,黄桥镇,1
744,木茹乡,0
745,大寨镇,1
746,腾蛟镇,1
747,桥市乡,0
748,周田镇,1
749,克度镇,1
750,阿拉力乡,0
751,螺阳镇,1
752,九门回族乡,0
753,新站镇,1
754,联饶镇,1
755,大板镇,1
756,漆园办事处（镇级单位）,1
757,旧院镇,1
758,游河乡,0
759,扎古录镇,1
760,梅花镇,1
761,马市镇,1
762,杜尔基镇,1
763,溪龙乡,0
764,天台镇,1
765,青云店镇,1
766,蔡锷乡,0
767,李遂镇,1
768,东泉镇,1
769,坪垭藏族乡,0
770,木城彝族傈僳族乡,0
771,籍山镇,1
772,鹿鸣乡,0
773,四姑镇,1
774,存金沟乡,0
775,山货回族乡,0
776,铁门岗乡,0
777,韩寺镇,1
778,城关乡,0
779,柴胡店镇,1
780,上青乡,0
781,院桥镇,1
782,中山西路街道办事处,1
783,潜江经济开发区,1
784,湾溪街道,1
785,西川乡,0
786,老洲乡,0
787,泽普县依玛乡,0
788,驷马镇,1
789,甘招镇,1
790,乐城镇,1
791,任留街道办事处,1
792,甲山乡,0
793,厍东关彝族白族苗族乡,0
794,鸡山乡,0
795,吹麻滩镇,1
796,六龙镇,1
797,新渡镇,1
798,罗村镇,1
799,荣华乡,0
800,新桥镇,1
801,村前镇,1
802,老沙湾镇,1
803,永福镇,1
804,坪城乡,0
805,盘龙镇,1
806,宗科乡,0
807,瑞峰镇,1
808,五星镇,1
809,临平镇,1
810,贾家营镇,1
811,官厅镇,1
812,元通镇,1
813,合峪镇,1
814,望江镇,1
815,乾潭镇,1
816,南古镇,1
817,岱岳镇,1
818,阿庄镇,1
819,弄岛镇,1
820,德旺土家族苗族乡,0
821,阿干镇,1
822,王石凹街道办事处,1
823,印塘乡,0
824,乔庙镇,1
825,坪坝镇,1
826,鹏田乡,0
827,白霓镇,1
828,东河乡,0
829,九河白族乡,0
830,人和乡,0
831,永漋镇,1
832,三甲镇,1
833,大社镇,1
834,岗度镇,1
835,协比乃尔布呼镇,1
836,兴隆镇,1
837,吐古其乡,0
838,中和营镇,1
839,叶埠口乡,0
840,云雾镇,1
841,马庄乡,0
842,斜滩镇,1
843,塔湾镇,1
844,石海镇,1
845,兴福镇,1
846,马鞍镇,1
847,安平镇,1
848,南日镇,1
849,西塘镇,1
850,宣风镇,1
