FID,省级,市级,市代码,区县级,区县码,乡镇级,乡镇码,省代码
10618,四川省,南充市,5.113E+11,西充县,5.11325E+11,中南乡,5.11325E+11,510000
10619,四川省,南充市,5.113E+11,仪陇县,5.11324E+11,武棚乡,5.11324E+11,510000
10620,安徽省,宣城市,3.418E+11,绩溪县,3.41824E+11,华阳镇,3.41824E+11,340000
10621,甘肃省,天水市,6.205E+11,清水县,6.20521E+11,新城乡,6.20521E+11,620000
10622,四川省,阿坝藏族羌族自治州,5.132E+11,金川县,5.13226E+11,毛日乡,5.13226E+11,510000
10623,甘肃省,酒泉市,6.209E+11,敦煌市,6.20982E+11,肃州镇,6.20982E+11,620000
10624,福建省,宁德市,3.509E+11,福安市,3.50981E+11,赛岐镇,3.50981E+11,350000
10625,安徽省,宿州市,3.413E+11,泗县,3.41324E+11,屏山镇,3.41324E+11,340000
10626,山东省,聊城市,3.715E+11,东昌府区,3.71502E+11,梁水镇,3.71502E+11,370000
10627,安徽省,宿州市,3.413E+11,灵璧县,3.41323E+11,浍沟镇,3.41323E+11,340000
10628,湖南省,怀化市,4.312E+11,中方县,4.31221E+11,中方镇,4.31221E+11,430000
10629,云南省,玉溪市,5.304E+11,华宁县,5.30424E+11,宁州街道办事处,5.30424E+11,530000
10630,山西省,长治市,1.404E+11,上党区,1.40404E+11,信义管委会,1.40421E+11,140000
10631,辽宁省,大连市,2.102E+11,甘井子区,2.10211E+11,中华路街道,2.10211E+11,210000
10632,宁夏回族自治区,银川市,6.401E+11,西夏区,6.40105E+11,宁华路街道办事处,6.40105E+11,640000
10633,云南省,保山市,5.305E+11,昌宁县,5.30524E+11,柯街镇,5.30524E+11,530000
10634,山西省,吕梁市,1.411E+11,临县,1.41124E+11,刘家会镇,1.41124E+11,140000
10635,山东省,青岛市,3.702E+11,黄岛区,3.70211E+11,隐珠街道办事处,3.70211E+11,370000
10636,山东省,济南市,3.701E+11,市中区,3.70103E+11,魏家庄街道办事处,3.70103E+11,370000
10637,辽宁省,丹东市,2.106E+11,凤城市,2.10682E+11,东汤镇,2.10682E+11,210000
10638,广东省,河源市,4.416E+11,东源县,4.41625E+11,骆湖镇,4.41625E+11,440000
10639,河北省,张家口市,1.307E+11,崇礼区,1.30709E+11,白旗乡,1.30709E+11,130000
10640,天津市,市辖区,1.201E+11,蓟州区,1.20119E+11,罗庄子镇,1.20119E+11,120000
10641,吉林省,松原市,2.207E+11,吉林松原经济开发区,2.20771E+11,松原经济技术开发区（特殊乡镇）,2.20771E+11,220000
10642,海南省,省直辖县级行政区划,4.69E+11,澄迈县,4.69023E+11,桥头镇,4.69023E+11,460000
10643,贵州省,贵阳市,5.201E+11,花溪区,5.20111E+11,平桥社区服务中心,5.20111E+11,520000
10644,山西省,长治市,1.404E+11,武乡县,1.40429E+11,丰州镇,1.40429E+11,140000
10645,黑龙江省,牡丹江市,2.31E+11,东安区,2.31002E+11,新安街道办事处,2.31002E+11,230000
10646,云南省,普洱市,5.308E+11,澜沧拉祜族自治县,5.30828E+11,谦六彝族乡,5.30828E+11,530000
10647,广东省,汕尾市,4.415E+11,陆河县,4.41523E+11,南万镇,4.41523E+11,440000
10648,四川省,乐山市,5.111E+11,井研县,5.11124E+11,高凤乡,5.11124E+11,510000
10649,四川省,巴中市,5.119E+11,通江县,5.11921E+11,涪阳镇,5.11921E+11,510000
10650,甘肃省,兰州市,6.201E+11,兰州新区,6.20171E+11,西岔镇,6.20171E+11,620000
